image,updated_at,annotation_id,choice,lead_time,id,created_at,annotator
/data/upload/5/f8fbb2e3-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_oZzichu.JPG,2023-06-05T09:22:57.757151Z,555,[SO-TP] Single object present - single object detected,99.216,553,2023-06-05T08:44:55.774918Z,6
/data/upload/5/f3123558-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_MwejVm0.JPG,2023-06-05T08:45:17.646594Z,556,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),18.277,554,2023-06-05T08:45:17.646555Z,6
/data/upload/5/72b01d1c-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_L2tmIz0.JPG,2023-06-05T08:45:37.815832Z,557,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),8.455,555,2023-06-05T08:45:37.815789Z,6
/data/upload/5/2afef22a-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_BU0a7hB.JPG,2023-06-05T08:45:46.315985Z,558,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),6.189,556,2023-06-05T08:45:46.315933Z,6
/data/upload/5/18158911-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_jYxM48Y.JPG,2023-06-05T08:45:56.805621Z,559,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),7.653,557,2023-06-05T08:45:56.805555Z,6
/data/upload/5/1f39f5c7-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_4DVUaKW.JPG,2023-06-05T08:46:12.236603Z,560,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),13.398,558,2023-06-05T08:46:12.236564Z,6
/data/upload/5/a209af85-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_vzwUcOD.JPG,2023-06-05T08:46:55.493458Z,561,[MO-TP] Multiple objects present - All objects detected,32.902,559,2023-06-05T08:46:55.493389Z,6
/data/upload/5/6380ef8d-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_LV26L8k.JPG,2023-06-05T09:03:44.419704Z,562,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),1007.105,560,2023-06-05T09:03:44.419663Z,6
/data/upload/5/e5796521-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_LTlJ1yb.JPG,2023-06-05T09:04:46.755070Z,563,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),56.838,561,2023-06-05T09:04:46.755031Z,6
/data/upload/5/647bb9b9-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_mCMrYeK.JPG,2023-06-05T09:04:54.436909Z,564,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),4.621,562,2023-06-05T09:04:54.436869Z,6
/data/upload/5/891ef437-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_F4zokjD.JPG,2023-06-05T09:05:04.790575Z,565,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),8.908,563,2023-06-05T09:05:04.790536Z,6
/data/upload/5/0f2e0246-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_xQf6l7o.JPG,2023-06-05T09:05:14.654662Z,566,[MO-TP] Multiple objects present - All objects detected,7.684,564,2023-06-05T09:05:14.654619Z,6
/data/upload/5/8c37501d-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_rFdPI7w.JPG,2023-06-05T09:05:23.594968Z,567,[MO-TP] Multiple objects present - All objects detected,7.22,565,2023-06-05T09:05:23.594924Z,6
/data/upload/5/f477bda1-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_Kjwhhld.JPG,2023-06-05T09:05:53.707735Z,568,[MO-TP] Multiple objects present - All objects detected,4.895,566,2023-06-05T09:05:53.707691Z,6
/data/upload/5/207b1b20-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_dsnktXD.JPG,2023-06-05T09:06:00.480172Z,569,[MO-TP] Multiple objects present - All objects detected,5.086,567,2023-06-05T09:06:00.480129Z,6
/data/upload/5/b71d9e71-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_cbXqIu8.JPG,2023-06-05T09:06:06.493156Z,570,[MO-TP] Multiple objects present - All objects detected,4.163,568,2023-06-05T09:06:06.493114Z,6
/data/upload/5/6303794f-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_ItuofeD.JPG,2023-06-05T09:06:21.529920Z,571,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),10.941,569,2023-06-05T09:06:21.529877Z,6
/data/upload/5/77ccc777-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_MaeKbvW.JPG,2023-06-05T09:06:27.851297Z,572,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),4.286,570,2023-06-05T09:06:27.851256Z,6
/data/upload/5/7f9ee793-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_1sRZrXQ.JPG,2023-06-05T09:06:38.207068Z,573,[MO-TP] Multiple objects present - All objects detected,8.047,571,2023-06-05T09:06:38.207013Z,6
/data/upload/5/5f6ae6e1-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_aAzXmnp.JPG,2023-06-05T09:06:46.691717Z,574,[MO-TP] Multiple objects present - All objects detected,6.96,572,2023-06-05T09:06:46.691674Z,6
/data/upload/5/e7110116-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_8Tb9r8u.JPG,2023-06-05T09:06:54.045877Z,575,[MO-TP] Multiple objects present - All objects detected,5.845,573,2023-06-05T09:06:54.045838Z,6
/data/upload/5/921be498-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_oz6MuvW.JPG,2023-06-05T09:07:00.221263Z,576,[MO-TP] Multiple objects present - All objects detected,4.771,574,2023-06-05T09:07:00.221225Z,6
/data/upload/5/26619529-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_QXFcTLw.JPG,2023-06-05T09:07:11.072798Z,577,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),9.549,575,2023-06-05T09:07:11.072754Z,6
